"Model_Year","Average_MSRP","Average_Range"
"2010","110950","245"
"2011","0","66.66666666666667"
"2012","11231.25","85.125"
"2013","12838.775510204081","77.36734693877551"
"2014","10921.875","83.40625"
"2015","0","105.4"
"2016","840.7894736842105","98.10526315789474"
"2017","0","104.59701492537313"
"2018","2708.9403973509934","165.35099337748343"
"2019","1343.1981981981983","182.47747747747746"
"2020","0","236.73846153846154"
"2021","0","7.317204301075269"
"2022","0","5.950207468879668"
"2023","0","4.027777777777778"
"2024","0","7.219101123595506"
"2025","0","11.26086956521739"
